Year,Marine ID,Name,Event,Rank,Company,Squad,Slot,Details
540,101,Garrick,Ingested,Battle Brother,-2,-2,-2,Initial Roster Import
540,102,Tobius Cromwel,Ingested,Chaplain,-2,-2,-2,Initial Roster Import
540,103,Boros,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,103,Boros,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
540,104,Vorenus Kyre,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,105,Corvus Vane,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,106,Moriar Thrax,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,107,Aethel Obsidian,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,108,Draxen Gloom,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,109,Kovalt Shade,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,110,Silas Mourn,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,111,Thulsa Graves,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,112,Lazarus Void,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,113,Balthazar Nyx,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,114,Castor Mortis,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,115,Hadrian Cael,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,116,Vaxen Hollow,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,117,Gaius Dirge,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,118,Torvin Ash,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,119,Malichai Wraight,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,120,Cyprian Bale,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
