Chapter ID Number,Name,Cognomen / Earned Name,Born,Date of Geneseed Implantation,Date of Death,Age (Or Age at Death),Wargear,Rank History,Deployment History,Personality / Psy-Profile,Notes
101,Garrick,High Paladin,552.M41,566.M41,Alive,464,"Relic Champion's Blade (Crust-Piercer) (634.M41 - Current)
Master-Crafted Storm Bolter (Tempest Teeth) (772.M41 - Current)
Power Armor (The Bubble) (775.M41 - Current)","Chapter Master (771.M41 - Current) (217 Years old on date of promotion)
In Stasis (No Rank) (638.M41 - 771.M41) (133 Years)
Chapter Master (634.M41 - 638.M41) (4 Years) (80 Years old on date of promotion)
Sergeant (619.M41 - 634.M41) (15 Years) (65 Years old on date of promotion)
Battle Brother (566.M41 - 619.M41) (53 Years)
","Chapter Command (771.M41 - Current)
In Stasis (638.M41 - 771.M41) (133 Years)
Chapter Command (634.M41 - 638.M41) (4 Years)
2nd Chapter, 1st Squad (620.M41 - 634.M41) (14 Years)
Chapter Reserve (619.M41 - 620.M41) (1 Years)
2nd Chapter, 1st Squad (566.M41 - 619.M41) (53 Years)
Chapter Reserve (566.M41 - 566.M41) (<1 Year)
",,
102,Tobius Cromwel,The Voice of Will,572.M41,586.M41,Alive,444,Auspex (The Deep-Vigil) (690.M41 - Current),Chaplain (625.M41 - Current),"3rd Chapter, Command Squad (586.M41 - Current)
Chapter Reserve (586.M41 - 586.M41) (<1 Year)
",,
103,Boros,The Old Anchor,521.M41,533.M41,Alive,497,Crux Terminatus (The Iron Rain Seal) (639.M41 - 661.M41),"Dreadnought : D-I (661.M41 - Current) (140 Years old on date of promotion)
Captain (574.M41 - 661.M41) (87 Years) (53 Years old on date of promotion)
Lieutenant (554.M41 - 574.M41) (20 Years) (33 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 554.M41) (<1 Year)","5th Chapter, 3rd Squad (661.M41 - Current)
Chapter Reserve (661.M41 - 661.M41) (<1 Year)
2nd Chapter, Command Squad (574.M41 - 661.M41) (87 Years)
Chapter Command (554.M41 - 574.M41) (20 Years)
Chapter Command (540.M41 - 554.M41) (14 Years)
Chapter Reserve (540.M41 - 540.M41) (<1 Year)
",,
104,Vorenus Kyre,,554.M41,568.M41,684.M41,128,,"KIA (Standard Bearer) (684.M41) (128 Years old)
Standard Bearer (582.M41 - 684.M41) (102 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 582.M41) (<1 Year)","2nd Chapter, Command Squad (582.M41 - 684.M41) (102 Years)
Chapter Command (568.M41 - 582.M41) (14 Years)
Chapter Reserve (568.M41 - 568.M41) (<1 Year)
",,
105,Corvus Vane,,568.M41,580.M41,645.M41,77,,"KIA (Lieutenant) (645.M41) (77 Years old)
Lieutenant (594.M41 - 645.M41) (51 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 594.M41) (<1 Year)","4th Chapter, Command Squad (594.M41 - 645.M41) (51 Years)
Chapter Command (580.M41 - 594.M41) (14 Years)
Chapter Reserve (580.M41 - 580.M41) (<1 Year)
",,
106,Moriar Thrax,,600.M41,612.M41,652.M41,52,,"KIA (Chaplain) (652.M41) (52 Years old)
Chaplain (626.M41 - 652.M41) (26 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 626.M41) (1 Years)","10th Chapter, 2nd Squad (626.M41 - 652.M41) (26 Years)
Chapter Command (612.M41 - 626.M41) (14 Years)
Chapter Reserve (612.M41 - 612.M41) (<1 Year)
",,
107,Aethel Obsidian,,600.M41,612.M41,652.M41,52,,"KIA (Chaplain) (652.M41) (52 Years old)
Chaplain (626.M41 - 652.M41) (26 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 626.M41) (1 Years)","10th Chapter, 3rd Squad (626.M41 - 652.M41) (26 Years)
Reclusiam (612.M41 - 626.M41) (14 Years)
Chapter Reserve (612.M41 - 612.M41) (<1 Year)
",,
108,Draxen Gloom,,558.M41,571.M41,682.M41,123,,"KIA (Veteran Sergeant) (682.M41) (123 Years old)
Veteran Sergeant (617.M41 - 682.M41) (65 Years) (58 Years old on date of promotion)
Sergeant (577.M41 - 617.M41) (40 Years) (18 Years old on date of promotion)
Battle Brother (572.M41 - 577.M41) (5 Years) (13 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 572.M41) (<1 Year)","1st Chapter, 1st Squad (617.M41 - 682.M41) (65 Years)
2nd Chapter, 1st Squad (577.M41 - 617.M41) (40 Years)
2nd Chapter, 1st Squad (573.M41 - 577.M41) (4 Years)
Chapter Reserve (572.M41 - 573.M41) (1 Years)
Chapter Command (571.M41 - 572.M41) (1 Years)
Chapter Reserve (571.M41 - 571.M41) (<1 Year)
",,Demoted on 572.M41 (from Veteran Battle Brother to Battle Brother) Aged 13
109,Kovalt Shade,,555.M41,568.M41,644.M41,88,,"KIA (Chaplain) (644.M41) (88 Years old)
Chaplain (582.M41 - 644.M41) (62 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 582.M41) (<1 Year)","2nd Chapter, Command Squad (582.M41 - 644.M41) (62 Years)
Apothecarion (568.M41 - 582.M41) (14 Years)
Chapter Reserve (568.M41 - 568.M41) (<1 Year)
",,
110,Silas Mourn,,536.M41,550.M41,685.M41,147,,"KIA (Chaplain) (685.M41) (147 Years old)
Chaplain (564.M41 - 685.M41) (121 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 564.M41) (<1 Year)","Reclusiam (564.M41 - 685.M41) (121 Years)
Chapter Command (550.M41 - 564.M41) (14 Years)
Chapter Reserve (550.M41 - 550.M41) (<1 Year)
",,
